Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/01  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.735760062932968e-9 
 01/01  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.238689482212067e-10 
 01/01  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.2118911147117615e-9 
 01/01  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.0745362639427185e-10 
 01/01  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,8.731149137020111e-10 
 01/01  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.434251993894577e-9 
 01/01  07:00:00,13513232.322849136,1710000.0,1136544.5956399357,10666687.727209201,9467151.79094071,0.0,1350000.0,4960639.303085781,4960639.303085781,0.0,-1.6298145055770874e-9 
 01/01  08:00:00,14073392.503285812,1710000.0,1136544.5956399357,11226847.907645876,9977918.373044638,0.0,1350000.0,4946526.959344081,4946526.959344081,1285900.8836988434,3.4924596548080444e-10 
 01/01  09:00:00,42766552.77973789,29416680.0,1136544.5956399357,12213328.184097957,10846624.906621467,0.0,22216680.0,4818037.706843859,4818037.706843859,6940997.8258881755,-6.984919309616089e-10 
 01/01  10:00:00,49808065.15577158,35762400.0,1136544.5956399357,12909120.56013164,11509438.430181254,0.0,19562400.0,4469369.835620521,4469369.835620521,10712775.628159016,-3.3760443329811096e-9 
 01/01  11:00:00,44858785.95763882,30384000.0,1138856.201432888,13335929.756205939,11926333.228985107,0.0,14184000.0,4151390.2672613813,4151390.2672613813,17521361.43223917,-2.3283064365386963e-9 
 01/01  12:00:00,41737769.00441723,27140580.0,1148509.9781101008,13448679.026307134,12004109.552025996,0.0,10940580.0,3503636.0509516755,3503636.0509516755,19561041.61445111,-1.6298145055770874e-9 
 01/01  13:00:00,39164657.37311609,24701760.0,1146811.3741365783,13316085.998979514,11835911.049603488,0.0,8501760.0,3858498.883265029,3858498.883265029,20194083.513535425,-4.889443516731262e-9 
 01/01  14:00:00,39749799.58499908,25764480.0,1157937.2041819966,12827382.380817078,11355520.90750298,0.0,9564480.0,3017567.4364764476,3017567.4364764476,16595597.149741745,-4.190951585769653e-9 
 01/01  15:00:00,38557909.836964205,25027200.0,1171926.4029567584,12358783.434007451,10913735.042593192,0.0,10627200.0,1789192.0916782694,1789192.0916782694,17104578.473458078,-4.423782229423523e-9 
 01/01  16:00:00,38855415.61906226,25894800.0,1149215.1152066134,11811400.503855653,10387051.158057582,0.0,13294800.0,4091210.942815128,4091210.942815128,13498668.382655807,-3.4924596548080444e-9 
 01/01  17:00:00,39440627.26771833,26740800.0,1136544.5956399357,11563282.67207839,10126224.159768766,0.0,17740800.0,5503416.668821089,5503416.668821089,9253428.183130987,-8.381903171539307e-9 
 01/01  18:00:00,48316873.50410168,36000000.0,1136544.5956399357,11180328.908461738,9772736.923049273,0.0,27000000.0,5242199.79593665,5242199.79593665,917752.4543559623,-2.561137080192566e-9 
 01/01  19:00:00,33712978.156454705,21600000.0,1136544.5956399357,10976433.560814764,9604528.176784895,0.0,16200000.0,5151476.879960069,5151476.879960069,0.0,-6.984919309616089e-10 
 01/01  20:00:00,22600517.070427414,10800000.0,1136544.5956399357,10663972.474787477,9395417.932848636,0.0,5400000.0,5116798.6155879125,5116798.6155879125,0.0,-2.561137080192566e-9 
 01/01  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-4.0745362639427185e-9 
 01/01  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-10 
 01/01  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,4.656612873077393e-10 
 01/01  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.2118911147117615e-9 
 01/02  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.8044374883174896e-9 
 01/02  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,8.149072527885437e-10 
 01/02  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.862645149230957e-9 
 01/02  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.979060471057892e-9 
 01/02  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.7462298274040222e-10 
 01/02  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.2223608791828156e-9 
 01/02  07:00:00,12300308.205574716,1710000.0,1136544.5956399357,9453763.60993478,8386527.245312838,0.0,1350000.0,4996585.299437744,4996585.299437744,120302.78100591252,-4.307366907596588e-9 
 01/02  08:00:00,13325978.62838192,1686240.0,1136544.5956399357,10503194.032741984,9338926.616700511,0.0,1326240.0,3029416.625622442,3029416.625622442,3134690.785862457,-2.473825588822365e-9 
 01/02  09:00:00,37876735.31612323,24932520.0,1136544.5956399357,11807670.7204833,10481924.29140016,0.0,17732520.0,5996259.08842424,5996259.08842424,15014402.2661013,-5.122274160385132e-9 
 01/02  10:00:00,43802656.33619105,30126240.0,1155150.7050177336,12521265.631173316,11128406.833358617,0.0,13926240.0,4077025.9460552153,4077025.9460552153,22993479.751993783,-2.9103830456733704e-9 
 01/02  11:00:00,40467047.169704616,26827200.0,1175806.830848659,12464040.33885596,11082716.767170321,0.0,10627200.0,2418906.412182599,2418906.412182599,22540737.27255569,-5.587935447692871e-9 
 01/02  12:00:00,39190425.451962374,26295840.0,1181556.9613575202,11713028.490604857,10418207.69914079,0.0,10095840.0,1655677.6642494402,1655677.6642494402,23030796.836672224,-3.725290298461914e-9 
 01/02  13:00:00,36793786.31335457,24701760.0,1166082.2253528382,10925944.088001728,9710203.268841948,0.0,8501760.0,2683245.276959041,2683245.276959041,20443586.31270275,-2.561137080192566e-9 
 01/02  14:00:00,39529923.53629528,28165320.0,1179203.7199585014,10185399.816336777,9033283.045429092,0.0,11965320.0,1249044.2676861521,1249044.2676861521,14599842.867598038,-6.05359673500061e-9 
 01/02  15:00:00,37896206.38069765,26805600.0,1184085.5547583946,9906520.82593926,8767390.372496098,0.0,12405600.0,704412.702911326,704412.702911326,13082320.416186294,-3.958120942115784e-9 
 01/02  16:00:00,34365280.92929941,23227200.0,1172168.5747425952,9965912.35455681,8779701.628396554,0.0,10627200.0,1724634.8015365752,1724634.8015365752,18967001.86479556,-5.122274160385132e-9 
 01/02  17:00:00,31720814.182228953,20516400.0,1138868.7147308935,10065545.467498057,8827411.216411632,0.0,11516400.0,5636133.193237229,5636133.193237229,17432724.38889192,-6.752088665962219e-9 
 01/02  18:00:00,44472749.14041327,33210000.0,1160146.3042583999,10102602.836154865,8854263.889386522,0.0,24210000.0,2708657.8359166635,2708657.8359166635,10130322.104522584,-6.984919309616089e-9 
 01/02  19:00:00,32825068.180560946,21600000.0,1136544.5956399357,10088523.58492101,8825606.709957123,0.0,16200000.0,5504454.2917244565,5504454.2917244565,0.0,-5.587935447692871e-9 
 01/02  20:00:00,21601404.422353156,10800000.0,1136544.5956399357,9664859.826713223,8515877.441326952,0.0,5400000.0,5255082.303409489,5255082.303409489,0.0,-1.6298145055770874e-9 
 01/02  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-1.0477378964424133e-9 
 01/02  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.820766091346741e-10 
 01/02  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.9103830456733704e-9 
 01/02  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.899913281202316e-9 
 01/03  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.153683453798294e-9 
 01/03  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.3387762010097504e-9 
 01/03  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.249159246683121e-9 
 01/03  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.2223608791828156e-9 
 01/03  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.3969838619232178e-9 
 01/03  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.57160684466362e-9 
 01/03  07:00:00,12840971.763518587,1710000.0,1136544.5956399357,9994427.16787865,8890406.743835332,0.0,1350000.0,5050242.058580842,5050242.058580842,50347.617590523354,1.2514647096395493e-9 
 01/03  08:00:00,13823005.769517533,1710000.0,1136544.5956399357,10976461.173877597,9762432.141707677,0.0,1350000.0,2400813.2281999234,2400813.2281999234,2345935.9210642753,-1.1932570487260818e-9 
 01/03  09:00:00,38863710.90085487,25732800.0,1136544.5956399357,11994366.30521493,10654741.635099258,0.0,18532800.0,6480384.53809611,6480384.53809611,13098447.23353313,-1.5133991837501526e-9 
 01/03  10:00:00,43596610.08346427,30126240.0,1152110.150562419,12318259.932901846,10945992.23220999,0.0,13926240.0,4483051.99562846,4483051.99562846,23049997.5148838,-6.51925802230835e-9 
 01/03  11:00:00,40150316.02290079,26827200.0,1180818.8335568341,12142297.189343952,10800463.645045925,0.0,10627200.0,2135035.355136305,2135035.355136305,24427143.46166271,-3.958120942115784e-9 
 01/03  12:00:00,38872894.02963654,26295840.0,1180283.511326878,11396770.518309664,10133598.536625408,0.0,10095840.0,1820848.1150551606,1820848.1150551606,22735536.06647984,-4.190951585769653e-9 
 01/03  13:00:00,36669259.76003365,24701760.0,1161931.1957706127,10805568.564263036,9569886.843859958,0.0,8501760.0,3130230.0369233643,3130230.0369233643,21066023.642110653,-3.026798367500305e-9 
 01/03  14:00:00,37333280.16168953,25764480.0,1185387.4764313782,10383412.68525815,9198098.902981006,0.0,9564480.0,901137.3990738805,901137.3990738805,20210581.871490557,-9.080395102500916e-9 
 01/03  15:00:00,36810945.70696889,25027200.0,1207035.7039453909,10576710.003023492,9384985.849217892,0.0,10627200.0,0.0,0.0,18668049.969245087,-2.3283064365386963e-9 
 01/03  16:00:00,36806127.92995405,25005600.0,1163177.8163459646,10637350.11360808,9369993.119676359,0.0,12405600.0,2690197.579020935,2690197.579020935,13255184.605012933,-5.587935447692871e-9 
