Time,HOT WATER LOOP:SPACE1-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE2-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE3-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE4-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE5-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:OA HEATING COIL 1:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:MAIN HEATING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
00:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
00:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
01:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
01:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
01:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
01:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
02:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
02:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
02:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
02:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
03:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
03:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
03:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
03:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
04:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
04:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
04:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
04:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
05:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
05:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
05:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
05:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
06:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
06:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
06:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
06:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
07:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
07:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
07:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
07:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
08:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
08:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
08:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
08:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
09:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
09:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
09:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
09:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
10:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
10:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
10:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
10:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
11:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
11:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
11:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
11:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
12:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
12:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
12:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
12:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
13:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
13:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
13:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
13:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
14:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
14:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
14:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
14:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
15:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
15:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
15:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
15:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
16:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
16:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
16:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
16:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
17:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
17:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
17:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
17:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
18:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
18:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
18:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
18:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
19:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
19:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
19:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
19:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
20:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
20:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
20:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
20:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
21:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
21:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
21:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
21:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
22:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
22:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
22:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
22:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
23:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
23:15:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
23:30:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
23:45:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05
24:00:00,8.602473E-05,4.325896E-05,1.003277E-04,3.712584E-05,8.449996E-05,1.536538E-04,8.205920E-05

Time,CHILLED WATER LOOP:OA COOLING COIL 1:Design Water Volume Flow Rate [m3/s],CHILLED WATER LOOP:MAIN COOLING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,4.288699E-04,2.799827E-04
00:30:00,4.288699E-04,2.799827E-04
00:45:00,4.288699E-04,2.799827E-04
01:00:00,4.288699E-04,2.799827E-04
01:15:00,4.288699E-04,2.799827E-04
01:30:00,4.288699E-04,2.799827E-04
01:45:00,4.288699E-04,2.799827E-04
02:00:00,4.288699E-04,2.799827E-04
02:15:00,4.288699E-04,2.799827E-04
02:30:00,4.288699E-04,2.799827E-04
02:45:00,4.288699E-04,2.799827E-04
03:00:00,4.288699E-04,2.799827E-04
03:15:00,4.288699E-04,2.799827E-04
03:30:00,4.288699E-04,2.799827E-04
03:45:00,4.288699E-04,2.799827E-04
04:00:00,4.288699E-04,2.799827E-04
04:15:00,4.288699E-04,2.799827E-04
04:30:00,4.288699E-04,2.799827E-04
04:45:00,4.288699E-04,2.799827E-04
05:00:00,4.288699E-04,2.799827E-04
05:15:00,4.288699E-04,2.799827E-04
05:30:00,4.288699E-04,2.799827E-04
05:45:00,4.288699E-04,2.799827E-04
06:00:00,4.288699E-04,2.799827E-04
06:15:00,4.288699E-04,2.799827E-04
06:30:00,4.288699E-04,2.799827E-04
06:45:00,4.288699E-04,2.799827E-04
07:00:00,4.288699E-04,2.799827E-04
07:15:00,4.288699E-04,2.799827E-04
07:30:00,4.288699E-04,2.799827E-04
07:45:00,4.288699E-04,2.799827E-04
08:00:00,4.342626E-04,2.835033E-04
08:15:00,5.366629E-04,3.503541E-04
08:30:00,6.442229E-04,4.205734E-04
08:45:00,7.491734E-04,4.890891E-04
09:00:00,8.509192E-04,5.555127E-04
09:15:00,9.627811E-04,6.285405E-04
09:30:00,1.099533E-03,7.178172E-04
09:45:00,1.199770E-03,7.832557E-04
10:00:00,1.303520E-03,8.509876E-04
10:15:00,1.328855E-03,8.675273E-04
10:30:00,1.343689E-03,8.772116E-04
10:45:00,1.350741E-03,8.818156E-04
11:00:00,1.351302E-03,8.821818E-04
11:15:00,1.326035E-03,8.656863E-04
11:30:00,1.296090E-03,8.461376E-04
11:45:00,1.263768E-03,8.250360E-04
12:00:00,1.230325E-03,8.032033E-04
12:15:00,1.178895E-03,7.696279E-04
12:30:00,1.129074E-03,7.371028E-04
12:45:00,1.082233E-03,7.065231E-04
13:00:00,1.039600E-03,6.786910E-04
13:15:00,1.078034E-03,7.037818E-04
13:30:00,1.123523E-03,7.334792E-04
13:45:00,1.174071E-03,7.664789E-04
14:00:00,1.228043E-03,8.017133E-04
14:15:00,1.253860E-03,8.185679E-04
14:30:00,1.280082E-03,8.356866E-04
14:45:00,1.306066E-03,8.526499E-04
15:00:00,1.331564E-03,8.692962E-04
15:15:00,1.334684E-03,8.713328E-04
15:30:00,1.334623E-03,8.712928E-04
15:45:00,1.331446E-03,8.692191E-04
16:00:00,1.324965E-03,8.649877E-04
16:15:00,1.302854E-03,8.505534E-04
16:30:00,1.276410E-03,8.332897E-04
16:45:00,1.245650E-03,8.132084E-04
17:00:00,1.210321E-03,7.901438E-04
17:15:00,1.194931E-03,7.800970E-04
17:30:00,1.175163E-03,7.671918E-04
17:45:00,1.149550E-03,7.504703E-04
18:00:00,1.116687E-03,7.290159E-04
18:15:00,9.907440E-04,6.467957E-04
18:30:00,8.517809E-04,5.560752E-04
18:45:00,7.088284E-04,4.627504E-04
