Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/01  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-9.89530235528946e-10 
 01/01  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.9208528101444244e-9 
 01/01  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.6193447411060333e-9 
 01/01  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.3178366720676422e-9 
 01/01  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-9 
 01/01  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.976755008101463e-9 
 01/01  07:00:00,13490975.411117401,1710000.0,1136544.5956399357,10644430.815477464,9462082.824064216,0.0,1350000.0,5041783.266826235,5041783.266826235,0.0,-5.093170329928398e-9 
 01/01  08:00:00,14076099.361150619,1710000.0,1136544.5956399357,11229554.765510682,9980049.783072509,0.0,1350000.0,4978437.113788394,4978437.113788394,1285900.8836988434,-3.6088749766349792e-9 
 01/01  09:00:00,42766726.17497223,29416680.0,1136544.5956399357,12213501.57933229,10846617.769081598,0.0,22216680.0,4830445.800343227,4830445.800343227,6940997.8258881755,-8.149072527885437e-10 
 01/01  10:00:00,49808187.61331781,35762400.0,1136544.5956399357,12909243.017677872,11509455.88150213,0.0,19562400.0,4474157.1994732665,4474157.1994732665,10712775.628159016,-5.238689482212067e-9 
 01/01  11:00:00,44877496.278670274,30384000.0,1165453.9172932573,13328042.361377012,11924345.744833425,0.0,14184000.0,2430457.8084028303,2430457.8084028303,17521361.43223917,-8.381903171539307e-9 
 01/01  12:00:00,41893916.11742277,27140580.0,1214380.9463669015,13538955.171055868,12121432.330948573,0.0,10940580.0,223625.63817998394,223625.63817998394,19561041.61445111,-6.28642737865448e-9 
 01/01  13:00:00,39180383.39432022,24701760.0,1186452.6378609098,13292170.756459307,11839294.52935308,0.0,8501760.0,896944.8013475859,896944.8013475859,20194083.513535425,-3.958120942115784e-9 
 01/01  14:00:00,40667445.44328572,25764480.0,1282253.4644501202,13620711.978835598,12187681.189561281,0.0,9564480.0,0.0,0.0,16595597.149741745,-4.190951585769653e-9 
 01/01  15:00:00,39989280.41869619,25027200.0,1331419.600889465,13630660.817806719,12231787.002294632,0.0,10627200.0,0.0,0.0,17104578.473458078,-6.984919309616089e-9 
 01/01  16:00:00,39728650.40099205,25894800.0,1268762.7773467635,12565087.623645285,11189627.745543987,0.0,13294800.0,0.0,0.0,13498668.382655807,-1.6298145055770874e-9 
 01/01  17:00:00,39435947.12415415,26740800.0,1181021.5201495483,11514125.604004595,10133566.310015231,0.0,17740800.0,1121920.5488319788,1121920.5488319788,9253428.183130987,-2.561137080192566e-9 
 01/01  18:00:00,48300656.087533444,36000000.0,1176119.6538290677,11124536.433704386,9764883.148096139,0.0,27000000.0,1349124.5543379341,1349124.5543379341,917752.4543559623,-3.4924596548080444e-9 
 01/01  19:00:00,33696750.60778895,21600000.0,1136544.5956399357,10960206.01214901,9605072.538323406,0.0,16200000.0,5715056.778005209,5715056.778005209,0.0,-6.51925802230835e-9 
 01/01  20:00:00,22582083.593553733,10800000.0,1136544.5956399357,10645538.997913796,9393418.643358316,0.0,5400000.0,5332460.787903737,5332460.787903737,0.0,-6.984919309616089e-10 
 01/01  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,5.820766091346741e-10 
 01/01  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.561137080192566e-9 
 01/01  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,4.0745362639427185e-10 
 01/01  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-6.984919309616089e-10 
 01/02  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1059455573558807e-9 
 01/02  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.6775524020195007e-9 
 01/02  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.270098775625229e-9 
 01/02  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.820766091346741e-10 
 01/02  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.434251993894577e-9 
 01/02  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.0477378964424133e-9 
 01/02  07:00:00,12288655.389734223,1710000.0,1136544.5956399357,9442110.794094289,8383483.276264405,0.0,1350000.0,5078128.203608944,5078128.203608944,120302.78100591252,-3.2014213502407074e-9 
 01/02  08:00:00,13327275.12971593,1686240.0,1136544.5956399357,10504490.534075994,9340830.593510196,0.0,1326240.0,5007019.335506359,5007019.335506359,3134690.785862457,-1.6880221664905548e-9 
 01/02  09:00:00,37875589.222832315,24932520.0,1136544.5956399357,11806524.627192382,10481891.368686084,0.0,17732520.0,4984380.698437181,4984380.698437181,15014402.2661013,-3.958120942115784e-9 
 01/02  10:00:00,43814706.86105217,30126240.0,1173654.1286595475,12514812.73239263,11127233.54943845,0.0,13926240.0,2682846.213071772,2682846.213071772,22993479.751993783,-1.862645149230957e-9 
 01/02  11:00:00,40714361.555570185,26827200.0,1232394.8500042788,12654766.705565907,11280325.612185568,0.0,10627200.0,673758.0877380576,673758.0877380576,22540737.27255569,-2.0954757928848267e-9 
 01/02  12:00:00,40137698.82146178,26295840.0,1306535.6856332193,12535323.135828558,11255112.6596938,0.0,10095840.0,0.0,0.0,23030796.836672224,-3.259629011154175e-9 
 01/02  13:00:00,37261798.35101185,24701760.0,1241480.6675856188,11318557.68342623,10119737.736703042,0.0,8501760.0,0.0,0.0,20443586.31270275,-1.6298145055770874e-9 
 01/02  14:00:00,41098188.296943456,28165320.0,1346328.6779373758,11586539.619006082,10453740.243853468,0.0,11965320.0,0.0,0.0,14599842.867598038,-7.450580596923828e-9 
 01/02  15:00:00,39497650.711097784,26805600.0,1340909.315377559,11351141.395720227,10235740.470870716,0.0,12405600.0,0.0,0.0,13082320.416186294,-2.7939677238464355e-9 
 01/02  16:00:00,35566003.686323166,23227200.0,1303625.6661042112,11035178.020218953,9913892.668033525,0.0,10627200.0,0.0,0.0,18967001.86479556,-3.4924596548080444e-9 
 01/02  17:00:00,31898684.9858142,20516400.0,1210318.9616259197,10171966.024188282,8998718.078311361,0.0,11516400.0,0.0,0.0,17432724.38889192,-5.122274160385132e-9 
 01/02  18:00:00,44791520.10164918,33210000.0,1220504.1903224112,10361015.911326766,9162272.24979952,0.0,24210000.0,0.0,0.0,10130322.104522584,-3.725290298461914e-9 
 01/02  19:00:00,32805041.83187434,21600000.0,1136544.5956399357,10068497.236234408,8828057.047102017,0.0,16200000.0,5398613.0770581765,5398613.0770581765,0.0,-3.725290298461914e-9 
 01/02  20:00:00,21588504.82671282,10800000.0,1136544.5956399357,9651960.231072882,8514792.442353282,0.0,5400000.0,5212438.74713288,5212438.74713288,0.0,-1.6298145055770874e-9 
 01/02  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-1.862645149230957e-9 
 01/02  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.773028194904327e-9 
 01/02  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/02  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/03  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.4551915228366852e-9 
 01/03  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.656612873077393e-10 
 01/03  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-10 
 01/03  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.0372681319713593e-9 
 01/03  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.444721758365631e-9 
 01/03  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.6589183360338211e-9 
 01/03  07:00:00,12842741.08834781,1710000.0,1136544.5956399357,9996196.492707873,8891512.388105743,0.0,1350000.0,5035323.482878377,5035323.482878377,50347.617590523354,-1.3969838619232178e-9 
 01/03  08:00:00,13821032.13094061,1710000.0,1136544.5956399357,10974487.535300676,9762418.92829438,0.0,1350000.0,5008150.061782115,5008150.061782115,2345935.9210642753,-2.648448571562767e-9 
 01/03  09:00:00,38862037.82491073,25732800.0,1136544.5956399357,11992693.229270795,10654702.467883136,0.0,18532800.0,5015174.225585641,5015174.225585641,13098447.23353313,-5.238689482212067e-9 
 01/03  10:00:00,43607306.770212874,30126240.0,1168429.307443041,12312637.462769832,10944938.291998943,0.0,13926240.0,3038390.7219873588,3038390.7219873588,23049997.5148838,-1.979060471057892e-9 
 01/03  11:00:00,40431488.579649515,26827200.0,1239986.5910657458,12364301.988583768,11028834.196438793,0.0,10627200.0,556157.728003832,556157.728003832,24427143.46166271,-6.752088665962219e-9 
 01/03  12:00:00,39759261.81561498,26295840.0,1304644.5166666382,12158777.298948348,10916463.893678289,0.0,10095840.0,0.0,0.0,22735536.06647984,-3.026798367500305e-9 
 01/03  13:00:00,37006205.43776968,24701760.0,1232768.8636269898,11071676.57414269,9861672.953162815,0.0,8501760.0,0.0,0.0,21066023.642110653,-3.958120942115784e-9 
 01/03  14:00:00,38932488.26704651,25764480.0,1361005.0814960306,11807003.185550485,10652234.720392665,0.0,9564480.0,0.0,0.0,20210581.871490557,-3.259629011154175e-9 
 01/03  15:00:00,38590389.21705444,25027200.0,1389465.3712619469,12173723.845792487,11008770.023807816,0.0,10627200.0,0.0,0.0,18668049.969245087,6.984919309616089e-10 
 01/03  16:00:00,37923847.532292575,25005600.0,1291968.2554103453,11626279.276882231,10412853.739626663,0.0,12405600.0,0.0,0.0,13255184.605012933,-4.6566128730773926e-9 
 01/03  17:00:00,34550337.981499135,22294800.0,1204919.0962260119,11050618.885273121,9760853.942363387,0.0,13294800.0,0.0,0.0,15055879.488950826,-3.4924596548080444e-9 
 01/03  18:00:00,47260713.40462728,35049600.0,1202967.9905662956,11008145.41406098,9702060.979404042,0.0,26049600.0,54150.33253395868,54150.33253395868,5402140.48393959,-2.3283064365386963e-9 
 01/03  19:00:00,33577988.31739298,21600000.0,1136544.5956399357,10841443.721753042,9507972.783702722,0.0,16200000.0,5390500.724510064,5390500.724510064,0.0,-2.0954757928848267e-9 
 01/03  20:00:00,22452526.151800986,10800000.0,1136544.5956399357,10515981.556161046,9280474.941196118,0.0,5400000.0,5207960.9090123,5207960.9090123,0.0,3.4924596548080444e-10 
 01/03  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-2.3283064365386963e-9 
 01/03  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.3283064365386963e-10 
 01/03  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-9 
 01/03  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.0745362639427185e-10 
 01/04  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.979060471057892e-9 
 01/04  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.238689482212067e-10 
 01/04  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.0477378964424133e-9 
 01/04  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.3283064365386963e-10 
 01/04  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.3969838619232178e-9 
 01/04  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.5902409106492996e-9 
