Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/01  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.259629011154175e-9 
 01/01  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.979060471057892e-9 
 01/01  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.3387762010097504e-9 
 01/01  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.4924596548080444e-10 
 01/01  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.3283064365386963e-10 
 01/01  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-9 
 01/01  07:00:00,13491824.493862549,1710000.0,1136544.5956399357,10645279.898222612,9462831.142402496,0.0,1350000.0,4980212.047193099,4980212.047193099,0.0,-4.598405212163925e-9 
 01/01  08:00:00,14076064.861417346,1710000.0,1136544.5956399357,11229520.265777413,9980016.815954555,0.0,1350000.0,4954277.967378293,4954277.967378293,1285900.8836988434,7.566995918750763e-10 
 01/01  09:00:00,42766589.705558196,29416680.0,1136544.5956399357,12213365.10991826,10846588.871352684,0.0,22216680.0,4821045.648233441,4821045.648233441,6940997.8258881755,-3.958120942115784e-9 
 01/01  10:00:00,49814803.76098564,35762400.0,1146579.737640974,12905824.023344664,11508403.89653368,0.0,19562400.0,3838669.328921745,3838669.328921745,10712775.628159016,-1.7462298274040222e-9 
 01/01  11:00:00,45467413.71527077,30384000.0,1273216.163098693,13810197.55217208,12417993.451361075,0.0,14184000.0,228455.59969639496,228455.59969639496,17521361.43223917,-3.725290298461914e-9 
 01/01  12:00:00,43008910.285958745,27140580.0,1347632.4882932585,14520697.797665486,13124792.430842724,0.0,10940580.0,0.0,0.0,19561041.61445111,-3.6088749766349792e-9 
 01/01  13:00:00,39985860.18407796,24701760.0,1280326.60561137,14003773.578466596,12577341.953234164,0.0,8501760.0,0.0,0.0,20194083.513535425,-6.984919309616089e-10 
 01/01  14:00:00,41916935.44295815,25764480.0,1443721.893355349,14708733.549602801,13288835.450397726,0.0,9564480.0,0.0,0.0,16595597.149741745,-2.7939677238464355e-9 
 01/01  15:00:00,41197041.98248425,25027200.0,1504786.9320709552,14665055.050413294,13276168.006585022,0.0,10627200.0,0.0,0.0,17104578.473458078,-1.862645149230957e-9 
 01/01  16:00:00,40766374.997444764,25894800.0,1396084.2453405578,13475490.752104208,12136601.169479067,0.0,13294800.0,0.0,0.0,13498668.382655807,-2.3283064365386963e-9 
 01/01  17:00:00,40101377.88764544,26740800.0,1256508.5506877075,12104069.336957738,10761312.483375093,0.0,17740800.0,0.0,0.0,9253428.183130987,-3.026798367500305e-9 
 01/01  18:00:00,48635640.4220398,36000000.0,1224410.4695328404,11411229.952506963,10088593.20299147,0.0,27000000.0,0.0,0.0,917752.4543559623,-1.3969838619232178e-9 
 01/01  19:00:00,33684662.82409585,21600000.0,1136544.5956399357,10948118.228455914,9610234.755062714,0.0,16200000.0,5286690.706031716,5286690.706031716,0.0,-3.3760443329811096e-9 
 01/01  20:00:00,22573984.423822578,10800000.0,1136544.5956399357,10637439.82818264,9393391.656615706,0.0,5400000.0,5168715.970555172,5168715.970555172,0.0,-2.444721758365631e-9 
 01/01  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/01  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.3760443329811096e-9 
 01/01  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.704350769519806e-9 
 01/01  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-6.402842700481415e-10 
 01/02  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,4.0745362639427185e-10 
 01/02  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,4.656612873077393e-10 
 01/02  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.0477378964424133e-9 
 01/02  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.14321368932724e-9 
 01/02  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.7462298274040222e-9 
 01/02  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.540197551250458e-9 
 01/02  07:00:00,12280786.838554054,1710000.0,1136544.5956399357,9434242.242914122,8380963.888859045,0.0,1350000.0,5016260.718758942,5016260.718758942,120302.78100591252,-1.4551915228366852e-10 
 01/02  08:00:00,13329408.32112882,1686240.0,1136544.5956399357,10506623.725488883,9342979.138298783,0.0,1326240.0,4982937.526930096,4982937.526930096,3134690.785862457,1.3387762010097504e-9 
 01/02  09:00:00,37875430.82683608,24932520.0,1136544.5956399357,11806366.231196154,10481856.277583323,0.0,17732520.0,4974920.812720675,4974920.812720675,15014402.2661013,-3.725290298461914e-9 
 01/02  10:00:00,43870537.039598495,30126240.0,1202403.895442068,12541893.144156422,11158383.780422663,0.0,13926240.0,1591101.310884105,1591101.310884105,22993479.751993783,-3.026798367500305e-9 
 01/02  11:00:00,41801101.57995048,26827200.0,1396154.9992223976,13577746.580728084,12211724.59373662,0.0,10627200.0,0.0,0.0,22540737.27255569,-8.381903171539307e-9 
 01/02  12:00:00,41455331.541729346,26295840.0,1499679.8007878226,13659811.740941523,12387429.40736063,0.0,10095840.0,0.0,0.0,23030796.836672224,-2.561137080192566e-9 
 01/02  13:00:00,38396310.82749641,24701760.0,1369609.0418552752,12324941.785641136,11135145.44181492,0.0,8501760.0,0.0,0.0,20443586.31270275,-3.958120942115784e-9 
 01/02  14:00:00,42265913.45923598,28165320.0,1522333.9321205677,12578259.527115414,11456098.772617644,0.0,11965320.0,0.0,0.0,14599842.867598038,-6.05359673500061e-9 
 01/02  15:00:00,40635815.4600309,26805600.0,1507059.6488989182,12323155.811131977,11218250.571018875,0.0,12405600.0,0.0,0.0,13082320.416186294,-5.587935447692871e-9 
 01/02  16:00:00,36631330.92389914,23227200.0,1444505.7664699592,11959625.157429175,10848577.349330943,0.0,10627200.0,0.0,0.0,18967001.86479556,-2.7939677238464355e-9 
 01/02  17:00:00,32819429.03424055,20516400.0,1303308.9896582086,10999720.044582343,9877769.893055618,0.0,11516400.0,0.0,0.0,17432724.38889192,-4.656612873077393e-10 
 01/02  18:00:00,45558252.84849623,33210000.0,1296978.086722605,11051274.761773624,9885955.537945177,0.0,24210000.0,0.0,0.0,10130322.104522584,-2.3283064365386963e-10 
 01/02  19:00:00,32801677.285630412,21600000.0,1136544.5956399357,10065132.68999048,8843285.434875257,0.0,16200000.0,5282649.207119412,5282649.207119412,0.0,-2.7939677238464355e-9 
 01/02  20:00:00,21578142.381727498,10800000.0,1136544.5956399357,9641597.78608756,8514543.398564652,0.0,5400000.0,5168179.608033222,5168179.608033222,0.0,3.4924596548080444e-10 
 01/02  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,1.862645149230957e-9 
 01/02  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.0477378964424133e-9 
 01/02  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.2223608791828156e-9 
 01/02  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.190951585769653e-9 
 01/03  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.3969838619232178e-9 
 01/03  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,4.656612873077393e-10 
 01/03  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.57160684466362e-9 
 01/03  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.2223608791828156e-9 
 01/03  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,8.149072527885437e-10 
 01/03  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.5425030142068863e-9 
 01/03  07:00:00,12843576.534151018,1710000.0,1136544.5956399357,9997031.938511081,8892327.830679923,0.0,1350000.0,5018508.217721555,5018508.217721555,50347.617590523354,-1.1641532182693481e-10 
 01/03  08:00:00,13820947.741470773,1710000.0,1136544.5956399357,10974403.14583084,9762383.807049293,0.0,1350000.0,5001624.269536942,5001624.269536942,2345935.9210642753,6.693881005048752e-10 
 01/03  09:00:00,38861873.60451597,25732800.0,1136544.5956399357,11992529.008876035,10654671.430082433,0.0,18532800.0,5012604.619708053,5012604.619708053,13098447.23353313,-6.28642737865448e-9 
 01/03  10:00:00,43661890.81404906,30126240.0,1198162.299347673,12337488.514701387,10975376.742940534,0.0,13926240.0,1905920.5655892263,1905920.5655892263,23049997.5148838,3.4924596548080444e-10 
 01/03  11:00:00,41499963.48363959,26827200.0,1403312.1081516698,13269451.37548792,11942753.564747708,0.0,10627200.0,0.0,0.0,24427143.46166271,-2.0954757928848267e-9 
 01/03  12:00:00,41088380.37083766,26295840.0,1501835.9869748955,13290704.383862766,12055612.60742985,0.0,10095840.0,0.0,0.0,22735536.06647984,-2.7939677238464355e-9 
 01/03  13:00:00,38115847.85213405,24701760.0,1358561.2481420524,12055526.603991993,10867498.73200922,0.0,8501760.0,0.0,0.0,21066023.642110653,-1.6298145055770874e-9 
 01/03  14:00:00,40149749.33408362,25764480.0,1555042.0545291582,12830227.279554458,11687733.532971678,0.0,9564480.0,0.0,0.0,20210581.871490557,-6.984919309616089e-10 
 01/03  15:00:00,39742608.70528424,25027200.0,1578902.4999474632,13136506.205336772,11981139.362948604,0.0,10627200.0,0.0,0.0,18668049.969245087,-7.683411240577698e-9 
 01/03  16:00:00,38947024.95096378,25005600.0,1426706.67001673,12514718.280947052,11335545.173881166,0.0,12405600.0,0.0,0.0,13255184.605012933,-3.725290298461914e-9 
 01/03  17:00:00,35505396.732430086,22294800.0,1294113.1450618678,11916483.58736822,10664636.470787786,0.0,13294800.0,0.0,0.0,15055879.488950826,-1.862645149230957e-9 
 01/03  18:00:00,47997039.6117612,35049600.0,1270654.705595726,11676784.906165466,10405004.586698115,0.0,26049600.0,0.0,0.0,5402140.48393959,-3.958120942115784e-9 
 01/03  19:00:00,33573005.32465323,21600000.0,1136544.5956399357,10836460.729013292,9520752.595492285,0.0,16200000.0,5266321.108337994,5266321.108337994,0.0,-2.7939677238464355e-9 
