Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/01  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.3283064365386963e-10 
 01/01  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.238689482212067e-10 
 01/01  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.7462298274040222e-9 
 01/01  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.820766091346741e-11 
 01/01  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.9685907065868378e-9 
 01/01  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-10 
 01/01  07:00:00,13512058.174636904,1710000.0,1136544.5956399357,10665513.57899697,9465411.286532752,0.0,1350000.0,4954851.032670312,4954851.032670312,0.0,-5.238689482212067e-10 
 01/01  08:00:00,14073281.315689359,1710000.0,1136544.5956399357,11226736.720049422,9977813.369942443,0.0,1350000.0,4944251.166786938,4944251.166786938,1285900.8836988434,-3.2014213502407074e-9 
 01/01  09:00:00,42766565.03927712,29416680.0,1136544.5956399357,12213340.443637189,10846628.158334814,0.0,22216680.0,4817152.534044748,4817152.534044748,6940997.8258881755,-2.9103830456733704e-9 
 01/01  10:00:00,49808076.18580195,35762400.0,1136544.5956399357,12909131.59016202,11509440.395568013,0.0,19562400.0,4469028.281952992,4469028.281952992,10712775.628159016,-5.820766091346741e-10 
 01/01  11:00:00,44857051.28784382,30384000.0,1136664.1163833346,13336387.171460487,11926423.73558997,0.0,14184000.0,4309056.199375286,4309056.199375286,17521361.43223917,-3.958120942115784e-9 
 01/01  12:00:00,41745330.873371854,27140580.0,1144225.5242049845,13460525.349166866,12006521.466998607,0.0,10940580.0,3842480.827070444,3842480.827070444,19561041.61445111,-4.656612873077393e-10 
 01/01  13:00:00,39165507.05808186,24701760.0,1142903.7360831173,13320843.321998741,11836700.71961904,0.0,8501760.0,4195289.122156696,4195289.122156696,20194083.513535425,-6.984919309616089e-9 
 01/01  14:00:00,39747384.73910559,25764480.0,1145012.580304776,12837892.158800814,11357658.437046789,0.0,9564480.0,4251822.086973911,4251822.086973911,16595597.149741745,-4.6566128730773926e-9 
 01/01  15:00:00,38553308.353589974,25027200.0,1149643.0773979092,12376465.276192065,10916940.446350168,0.0,10627200.0,3820351.7156902216,3820351.7156902216,17104578.473458078,-1.862645149230957e-9 
 01/01  16:00:00,38857942.23706858,25894800.0,1137302.3403889234,11825839.89667965,10388696.885579772,0.0,13294800.0,5281525.8369723605,5281525.8369723605,13498668.382655807,-2.3283064365386963e-9 
 01/01  17:00:00,39443967.383341864,26740800.0,1136544.5956399357,11566622.787701929,10125895.651297633,0.0,17740800.0,5197579.824899313,5197579.824899313,9253428.183130987,-2.7939677238464355e-9 
 01/01  18:00:00,48321574.39023989,36000000.0,1136544.5956399357,11185029.794599956,9773726.722471522,0.0,27000000.0,5133440.333702711,5133440.333702711,917752.4543559623,-3.259629011154175e-9 
 01/01  19:00:00,33716317.73595844,21600000.0,1136544.5956399357,10979773.140318502,9604948.428134598,0.0,16200000.0,5108904.4209237425,5108904.4209237425,0.0,-5.3551048040390015e-9 
 01/01  20:00:00,22607062.71160382,10800000.0,1136544.5956399357,10670518.115963884,9397879.81979317,0.0,5400000.0,5101644.766039007,5101644.766039007,0.0,-8.149072527885437e-10 
 01/01  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-3.6088749766349792e-9 
 01/01  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.6298145055770874e-9 
 01/01  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.2118911147117615e-9 
 01/01  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,8.731149137020111e-10 
 01/02  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-9.313225746154785e-10 
 01/02  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.5029294192790985e-9 
 01/02  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-7.566995918750763e-10 
 01/02  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-8.149072527885437e-10 
 01/02  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.561137080192566e-9 
 01/02  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.57160684466362e-9 
 01/02  07:00:00,12299144.7423921,1710000.0,1136544.5956399357,9452600.146752164,8384839.980697118,0.0,1350000.0,4990769.068384333,4990769.068384333,120302.78100591252,1.949956640601158e-9 
 01/02  08:00:00,13324704.2969689,1686240.0,1136544.5956399357,10501919.701328963,9338819.035835493,0.0,1326240.0,4972937.034505877,4972937.034505877,3134690.785862457,3.521563485264778e-9 
 01/02  09:00:00,37875493.70873006,24932520.0,1136544.5956399357,11806429.113090115,10481927.9836631,0.0,17732520.0,4970984.124778036,4970984.124778036,15014402.2661013,-3.841705620288849e-9 
 01/02  10:00:00,43799957.99258817,30126240.0,1150848.051412204,12522869.941175967,11128867.420150673,0.0,13926240.0,3991026.099779479,3991026.099779479,22993479.751993783,-3.725290298461914e-9 
 01/02  11:00:00,40464732.387310244,26827200.0,1170358.0607135869,12467174.32659665,11083141.160129083,0.0,10627200.0,2610089.870036594,2610089.870036594,22540737.27255569,1.6298145055770874e-9 
 01/02  12:00:00,39182251.82835154,26295840.0,1170672.5523141832,11715739.276037354,10418624.469727194,0.0,10095840.0,2356957.2605767488,2356957.2605767488,23030796.836672224,-3.725290298461914e-9 
 01/02  13:00:00,36787738.419643454,24701760.0,1156470.694953537,10929507.724689914,9710643.343528124,0.0,8501760.0,3453300.137173585,3453300.137173585,20443586.31270275,-2.0954757928848267e-9 
 01/02  14:00:00,39515283.65180086,28165320.0,1157076.1697085905,10192887.482092272,9034567.51773577,0.0,11965320.0,3194529.2802347317,3194529.2802347317,14599842.867598038,-5.122274160385132e-9 
 01/02  15:00:00,37880243.45743081,26805600.0,1152345.4601495964,9922297.997281212,8770094.938268822,0.0,12405600.0,3593770.161242584,3593770.161242584,13082320.416186294,-6.51925802230835e-9 
 01/02  16:00:00,34362913.40885578,23227200.0,1144534.8419031573,9991178.566952622,8784347.581754692,0.0,10627200.0,4480089.826109323,4480089.826109323,18967001.86479556,-5.587935447692871e-9 
 01/02  17:00:00,31729615.521455415,20516400.0,1136544.5956399357,10076670.925815474,8827694.744531266,0.0,11516400.0,5418339.014672259,5418339.014672259,17432724.38889192,-6.752088665962219e-9 
 01/02  18:00:00,44477793.25435462,33210000.0,1145488.6268835422,10122304.627471073,8857596.632761298,0.0,24210000.0,4166557.0675115087,4166557.0675115087,10130322.104522584,-5.122274160385132e-9 
 01/02  19:00:00,32832127.065429345,21600000.0,1136544.5956399357,10095582.469789406,8826241.197444495,0.0,16200000.0,5223920.386746451,5223920.386746451,0.0,-2.3283064365386963e-10 
 01/02  20:00:00,21609180.290978335,10800000.0,1136544.5956399357,9672635.695338396,8516332.01697619,0.0,5400000.0,5143814.054957088,5143814.054957088,0.0,-2.6775524020195007e-9 
 01/02  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-2.7939677238464355e-9 
 01/02  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/02  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/02  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.153683453798294e-9 
