Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/03  14:00:00,41842052.96764907,25764480.0,1942685.7136572837,14134887.253991783,13003072.234887498,0.0,9564480.0,0.0,0.0,20210581.871490557,-7.2177499532699585e-9 
 01/03  15:00:00,41449707.60002497,25027200.0,1975256.1206496598,14447251.479375314,13300085.356588311,0.0,10627200.0,0.0,0.0,18668049.969245087,-4.889443516731262e-9 
 01/03  16:00:00,40456274.699715406,25005600.0,1707961.9597844207,13742712.73993098,12573289.802651646,0.0,12405600.0,0.0,0.0,13255184.605012933,-5.122274160385132e-9 
 01/03  17:00:00,36809505.02412117,22294800.0,1478333.0306468871,13036371.993474286,11819601.399633601,0.0,13294800.0,0.0,0.0,15055879.488950826,-3.026798367500305e-9 
 01/03  18:00:00,49243907.70779834,35049600.0,1436458.4753875218,12757849.232410815,11539290.124594685,0.0,26049600.0,0.0,0.0,5402140.48393959,-3.4924596548080444e-9 
 01/03  19:00:00,33565476.467744395,21600000.0,1139728.359236821,10825748.108507568,9550459.461465616,0.0,16200000.0,5269024.206159133,5269024.206159133,0.0,-4.190951585769653e-9 
 01/03  20:00:00,22439628.686084777,10800000.0,1136544.5956399357,10503084.09044484,9280547.715082983,0.0,5400000.0,4016479.0741329473,4016479.0741329473,0.0,-3.3760443329811096e-9 
 01/03  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-3.259629011154175e-9 
 01/03  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.1641532182693481e-10 
 01/03  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.4924596548080444e-10 
 01/03  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.5029294192790985e-9 
 01/04  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.598405212163925e-9 
 01/04  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.6880221664905548e-9 
 01/04  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.0745362639427185e-10 
 01/04  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.889443516731262e-9 
 01/04  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.561137080192566e-9 
 01/04  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-6.111804395914078e-10 
 01/04  07:00:00,13236565.687875269,1710000.0,1136544.5956399357,10390021.092235334,9207461.603131376,0.0,1350000.0,28590005.11079969,28590005.11079969,265391.7848388741,-5.820766091346741e-10 
 01/04  08:00:00,13979672.262944743,1710000.0,1136544.5956399357,11133127.667304806,9889432.487397162,0.0,1350000.0,21907655.361869574,21907655.361869574,2720215.96686369,-2.153683453798294e-9 
 01/04  09:00:00,39560877.98457371,26960760.0,1140089.6948685246,11460028.289705187,10190701.48571778,0.0,19760760.0,5473433.496679469,5473433.496679469,10915179.99882581,-3.4924596548080444e-9 
 01/04  10:00:00,44417880.158445954,30126240.0,1509229.3575997178,12782410.80084624,11549355.727346651,0.0,13926240.0,181160.79727099507,181160.79727099507,20947124.196797367,1.1641532182693481e-10 
 01/04  11:00:00,45351767.93769286,29494800.0,1881062.2627967335,13975905.674896123,12794005.560322601,0.0,13294800.0,0.0,0.0,20008026.32819129,-1.862645149230957e-9 
 01/04  12:00:00,42270854.86957091,26295840.0,1910304.809660115,14064710.0599108,12913764.458495203,0.0,10095840.0,0.0,0.0,23201729.606755972,-2.0954757928848267e-9 
 01/04  13:00:00,39454716.015498355,24701760.0,1635603.5058236392,13117352.509674719,11980917.919661945,0.0,8501760.0,0.0,0.0,21999499.46546644,-4.0745362639427185e-9 
 01/04  14:00:00,41997196.94138237,25764480.0,1959694.6469690392,14273022.294413332,13133211.74023071,0.0,9564480.0,0.0,0.0,20085381.20714704,-4.6566128730773926e-9 
 01/04  15:00:00,41528065.234171346,25027200.0,2035754.4766366617,14465110.757534683,13334395.226897415,0.0,10627200.0,0.0,0.0,20720816.075937044,-3.958120942115784e-9 
 01/04  16:00:00,38851674.574406914,23227200.0,1867811.0816495055,13756663.49275741,12648414.318258632,0.0,10627200.0,0.0,0.0,20598488.579537373,-9.313225746154785e-10 
 01/04  17:00:00,35766569.85700794,22294800.0,1515236.2099111849,11956533.647096753,10884358.056320041,0.0,13294800.0,0.0,0.0,14760015.06198512,-3.259629011154175e-9 
 01/04  18:00:00,46333798.74616272,33210000.0,1498709.2271370902,11625089.51902563,10575324.414590076,0.0,24210000.0,0.0,0.0,10955585.367261542,-3.4924596548080444e-9 
 01/04  19:00:00,31993834.195929136,21600000.0,1143631.4023212949,9250202.793607842,8161807.553268105,0.0,16200000.0,4886417.781188101,4886417.781188101,0.0,-2.7939677238464355e-9 
 01/04  20:00:00,20913080.90401169,10800000.0,1136544.5956399357,8976536.308371753,7938145.944747092,0.0,5400000.0,3906398.028199527,3906398.028199527,0.0,-1.862645149230957e-9 
 01/04  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,3.4924596548080444e-10 
 01/04  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-10 
 01/04  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-9.313225746154785e-10 
 01/04  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.899913281202316e-9 
 01/05  01:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,0.0 
 01/05  02:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.3178366720676422e-9 
 01/05  03:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/05  04:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-7.566995918750763e-10 
 01/05  05:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/05  06:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.5029294192790985e-9 
 01/05  07:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,1598472.6453198807,-3.550667315721512e-9 
 01/05  08:00:00,5994564.595639936,4858020.0,1136544.5956399357,0.0,0.0,0.0,1258020.0,0.0,0.0,9778203.5159698,-3.6088749766349792e-9 
 01/05  09:00:00,5721684.595639936,4585140.0,1136544.595639936,0.0,0.0,0.0,985140.0,0.0,0.0,21363729.928510703,-9.313225746154785e-10 
 01/05  10:00:00,5469504.595639936,4332960.0,1136544.5956399357,0.0,0.0,0.0,732960.0,0.0,0.0,22485905.57154746,-4.016328603029251e-9 
 01/05  11:00:00,5401284.595639936,4264740.0,1136544.5956399357,0.0,0.0,0.0,664740.0,0.0,0.0,20784173.603717983,-2.0954757928848267e-9 
 01/05  12:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,21303690.414851006,-3.4924596548080444e-10 
 01/05  13:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,22066986.73616872,-1.1641532182693481e-9 
 01/05  14:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,20238939.095332496,-3.841705620288849e-9 
 01/05  15:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,20859409.50205967,-3.026798367500305e-9 
 01/05  16:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,21960070.108331166,-5.3551048040390015e-9 
 01/05  17:00:00,5312364.595639936,4175820.0,1136544.5956399357,0.0,0.0,0.0,575820.0,0.0,0.0,17490900.836878277,-3.958120942115784e-9 
 01/05  18:00:00,6015264.595639936,4878720.0,1136544.5956399357,0.0,0.0,0.0,1278720.0,0.0,0.0,5331627.633841285,-1.0477378964424133e-9 
 01/05  19:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.3551048040390015e-9 
 01/05  20:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.423782229423523e-9 
 01/05  21:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-6.984919309616089e-10 
 01/05  22:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.190951585769653e-9 
 01/05  23:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.5133991837501526e-9 
 01/05  24:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.862645149230957e-9 
 01/06  01:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-5.820766091346741e-10 
 01/06  02:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.190951585769653e-9 
 01/06  03:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.5029294192790985e-9 
 01/06  04:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-9.313225746154785e-10 
 01/06  05:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-6.984919309616089e-10 
 01/06  06:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.6298145055770874e-9 
 01/06  07:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.852175384759903e-9 
 01/06  08:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,346404.72099937045,1.3387762010097504e-9 
 01/06  09:00:00,6062784.595639936,4926240.0,1136544.5956399357,0.0,0.0,0.0,1326240.0,0.0,0.0,3566458.8296851506,-1.0477378964424133e-9 
 01/06  10:00:00,5766144.595639936,4629600.0,1136544.5956399357,0.0,0.0,0.0,1029600.0,0.0,0.0,11027600.912569953,-2.3283064365386963e-9 
 01/06  11:00:00,5582184.595639936,4445640.0,1136544.5956399357,0.0,0.0,0.0,845640.0,0.0,0.0,15083655.248460045,-9.89530235528946e-10 
 01/06  12:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,21071033.54962573,-4.889443516731262e-9 
 01/06  13:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,19927196.872170284,-3.026798367500305e-9 
 01/06  14:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,20135095.146044184,-3.14321368932724e-9 
 01/06  15:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,19890540.42754191,-3.841705620288849e-9 
 01/06  16:00:00,5267904.595639936,4131360.0,1136544.5956399357,0.0,0.0,0.0,531360.0,0.0,0.0,17272447.526552938,-3.3760443329811096e-9 
 01/06  17:00:00,5647344.595639936,4510800.0,1136544.5956399357,0.0,0.0,0.0,910800.0,0.0,0.0,8312157.613656854,-5.820766091346741e-10 
 01/06  18:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,2829472.3117994657,-5.122274160385132e-9 
 01/06  19:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.026798367500305e-9 
 01/06  20:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.540197551250458e-9 
 01/06  21:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.6775524020195007e-9 
 01/06  22:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-10 
 01/06  23:00:00,6086544.595639936,4950000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.6775524020195007e-9 
